,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,builtup_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score,coordinates,latitude,longitude
0,house,independent,sector 25,4.35,32222.0,5,4,3,3.0,Old Property,R70162684,1350.0,0,0,0,1,0,0,49,"28.4844° N, 77.0860° E",28.4844,77.086
1,flat,the close south,sector 50,3.1,12444.0,3,4,3+,4.0,Moderately Old,H69433380,2450.0,0,0,0,1,0,2,165,"28.4178° N, 77.0628° E",28.4178,77.0628
2,flat,signature global city 63a,sector 63a,1.65,15263.0,2,2,2,1.0,Under Construction,G69165782,978.0,0,0,0,0,0,0,0,"28.3923° N, 77.0888° E",28.3923,77.0888
3,flat,saan verdante,sector 95,2.0,10178.0,3,4,3+,5.0,New Property,U70096330,1964.0,0,0,0,1,0,0,49,"28.4172° N, 76.9081° E",28.4172,76.9081
4,flat,puri diplomatic greens,sector 111,3.9,13000.0,4,5,3+,6.0,Relatively New,S69742910,2996.0,0,0,0,1,0,1,160,"28.5238° N, 77.0320° E",28.5238,77.032
5,flat,signature global city 63a,sector 63a,1.4,11336.0,2,2,2,3.0,Under Construction,I69037888,1372.0,0,0,0,0,1,0,0,"28.3923° N, 77.0888° E",28.3923,77.0888
6,flat,ansal heights 86,sector 86,1.05,5541.0,3,3,3,9.0,Under Construction,D26586124,1715.0,0,0,0,1,0,0,0,"28.3986° N, 76.9384° E",28.3986,76.9384
7,flat,kamroon court,sector 43,2.75,13750.0,3,4,3+,5.0,Moderately Old,K69957846,2222.0,0,0,0,1,1,2,49,"28.4629° N, 77.0772° E",28.4629,77.0772
8,house,uppal southend,sector 49,3.75,25562.0,2,6,3+,3.0,Moderately Old,H64867042,1467.0,1,0,0,0,0,2,26,"28.4121° N, 77.0480° E",28.4121,77.048
9,flat,dlf regency park,sector 28,2.35,13224.0,3,3,2,18.0,Old Property,T69621608,1608.0,0,0,0,1,0,0,120,"28.4728° N, 77.0865° E",28.4728,77.0865
10,flat,vatika sovereign park,sector 99,3.2,9922.0,4,4,0,5.0,Under Construction,O69031232,3225.0,0,0,0,0,0,0,23,"28.4640° N, 76.9614° E",28.464,76.9614
11,flat,signature global solera,sector 107,0.5,7751.0,3,2,2,6.0,Relatively New,B69309024,717.0,0,0,0,0,1,0,15,"28.5052° N, 76.9729° E",28.5052,76.9729
12,flat,czar mahira homes 63a,sector 63a,0.42,7407.0,3,2,2,1.0,Under Construction,J68575026,630.0,0,0,0,0,0,0,0,"28.3923° N, 77.0888° E",28.3923,77.0888
13,flat,m3m heights,sector 65,3.29,17997.0,3,3,3,33.0,New Property,H68309416,1828.0,0,0,0,0,0,0,49,"28.4030° N, 77.0690° E",28.403,77.069
14,flat,ats tourmaline,sector 109,1.65,7674.0,3,3,3+,16.0,Relatively New,V69309850,1946.0,0,0,0,1,0,2,49,"28.5073° N, 77.0089° E",28.5073,77.0089
15,flat,godrej habitat,sector 3,1.35,12784.0,2,2,0,4.0,Old Property,M66302926,1056.0,0,0,0,0,0,0,60,"28.4909° N, 77.0176° E",28.4909,77.0176
16,flat,maxworth city residences,sector 10a,0.9,7083.0,2,2,3,9.0,New Property,E43520595,1086.0,0,0,0,0,1,0,52,"28.4469° N, 77.0106° E",28.4469,77.0106
17,flat,ss,sector 85,1.98,8222.0,3,4,3,6.0,Relatively New,E70087054,2300.0,0,0,0,0,0,0,42,"28.4042° N, 76.9513° E",28.4042,76.9513
