property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,super_builtup_area,builtup_area,carpet_area,study room,pooja room,store room,servant room,others,furnishing_type,facility_score
house,independent,sector 25,4.35,32222.0,1350.0,Plot area 150(125.42 sq.m.),5,4,3,3.0,North,Undefined,R70162684,,1350.0,,0,0,0,1,0,0,49
flat,the close south,sector 50,3.1,12444.0,2491.0,Super Built up area 2491(231.42 sq.m.)Built Up area: 2450 sq.ft. (227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,4.0,North-East,Undefined,H69433380,2491.0,2450.0,2250.0,0,0,0,1,0,2,165
flat,signature global city 63a,sector 63a,1.65,15263.0,1081.0,Super Built up area 1081(100.43 sq.m.),2,2,2,1.0,,Under Construction,G69165782,1081.0,,,0,0,0,0,0,0,0
flat,saan verdante,sector 95,2.0,10178.0,1965.0,Super Built up area 1965(182.55 sq.m.)Carpet area: 1935 sq.ft. (179.77 sq.m.),3,4,3+,5.0,North,New Property,U70096330,1965.0,,1935.0,0,0,0,1,0,0,49
flat,puri diplomatic greens,sector 111,3.9,13000.0,3000.0,Super Built up area 3000(278.71 sq.m.)Carpet area: 2950 sq.ft. (274.06 sq.m.),4,5,3+,6.0,North-East,Undefined,S69742910,3000.0,,2950.0,0,0,0,1,0,1,160
flat,signature global city 63a,sector 63a,1.4,11336.0,1235.0,Carpet area: 1235 (114.74 sq.m.),2,2,2,3.0,East,Under Construction,I69037888,,,1235.0,0,0,0,0,1,0,0
flat,ansal heights 86,sector 86,1.05,5541.0,1895.0,Super Built up area 1895(176.05 sq.m.),3,3,3,9.0,North-East,Under Construction,D26586124,1895.0,,,0,0,0,1,0,0,0
flat,kamroon court,sector 43,2.75,13750.0,2000.0,Carpet area: 2000 (185.81 sq.m.),3,4,3+,5.0,North-East,Undefined,K69957846,,,2000.0,0,0,0,1,1,2,49
house,uppal southend,sector 49,3.75,25562.0,1467.0,Built Up area: 163 (136.29 sq.m.),6,6,3+,3.0,East,Undefined,H64867042,,163.0,,1,0,0,0,0,2,26
flat,dlf regency park,sector 28,2.35,13224.0,1777.0,Super Built up area 1777(165.09 sq.m.),3,3,2,18.0,North-East,Undefined,T69621608,1777.0,,,0,0,0,1,0,0,120
flat,vatika sovereign park,sector 99,3.2,9922.0,3225.0,Built Up area: 3225 (299.61 sq.m.),4,4,0,5.0,North-East,Under Construction,O69031232,,3225.0,,0,0,0,0,0,0,23
flat,signature global solera,sector 107,0.5,7751.0,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,6.0,South-East,Undefined,B69309024,,,645.0,0,0,0,0,1,0,15
flat,czar mahira homes 63a,sector 63a,0.42,7407.0,567.0,Carpet area: 567 (52.68 sq.m.),3,2,2,1.0,,Undefined,J68575026,,,567.0,0,0,0,0,0,0,0
flat,trisara our homes 3,sohna road,0.34,5405.0,629.0,Carpet area: 629 (58.44 sq.m.),2,2,1,0.0,,New Property,K68570962,,,629.0,0,0,0,0,0,0,0
flat,m3m heights,sector 65,3.29,17997.0,1828.0,Super Built up area 1828(169.83 sq.m.),3,3,3,33.0,East,Undefined,H68309416,1828.0,,,0,0,0,0,0,0,49
flat,ats tourmaline,sector 109,1.65,7674.0,2150.0,Super Built up area 2150(199.74 sq.m.),3,3,3+,16.0,North-East,Undefined,V69309850,2150.0,,,0,0,0,1,0,2,49
flat,godrej habitat,sector 3,1.35,12784.0,1056.0,Built Up area: 1056 (98.11 sq.m.)Carpet area: 912 sq.ft. (84.73 sq.m.),2,2,0,4.0,North-East,Undefined,M66302926,,1056.0,912.0,0,0,0,0,0,0,60
flat,maxworth city residences,sector 10a,0.9,7083.0,1271.0,Super Built up area 1200(111.48 sq.m.),2,2,3,9.0,East,New Property,E43520595,1200.0,,,0,0,0,0,1,0,52
flat,ss,sector 85,1.98,8222.0,2408.0,Super Built up area 2408(223.71 sq.m.)Built Up area: 2300 sq.ft. (213.68 sq.m.)Carpet area: 2200 sq.ft. (204.39 sq.m.),3,4,3,6.0,West,Undefined,E70087054,2408.0,2300.0,2200.0,0,0,0,0,0,0,42
flat,sare homes,sector 92,1.25,6200.0,2016.0,Built Up area: 2040 (189.52 sq.m.),4,3,0,16.0,,Under Construction,D21293994,,2040.0,,0,0,0,0,0,0,49
flat,emaar mgf emerald floors,sector 65,3.2,10159.0,3150.0,Built Up area: 3150 (292.64 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,3,2,1.0,,Undefined,C69772638,,3150.0,1750.0,0,0,0,1,0,0,0
flat,"ganpati apartment  2, laxman vihar phase 1",sector 4,0.45,4705.0,956.0,Carpet area: 850 (78.97 sq.m.),2,2,1,0.0,East,Undefined,M68320118,,,850.0,0,0,0,0,0,0,46
flat,dlf regal gardens,sector 90,1.78,8040.0,2214.0,Super Built up area 2215(205.78 sq.m.),4,4,3+,12.0,North-East,Undefined,P62070450,2215.0,,,0,0,0,0,0,0,61
flat,dlf icon,sector 43,5.8,20707.0,2801.0,Built Up area: 2801 (260.22 sq.m.),4,4,3+,18.0,,Undefined,D69982940,,2801.0,,0,0,0,0,0,0,0
